Modus;Bildname;Anzahl_Betrachtungen;Dauer_ms;Fixationen_Anzahl;Fixationen_Dauer_Summe
1;pferd_001.png;7;3304;11;2450
1;pferd_002.png;2;907;3;752
1;pferd_003.png;1;2004;4;1699
1;pferd_004.png;2;2544;6;2181
1;pferd_005.png;1;932;2;761
1;pferd_006.png;1;1043;3;917
1;pferd_007.png;3;2369;4;1925
1;pferd_008.png;6;6471;13;4543
1;pferd_009.png;2;3850;9;3259
1;pferd_010.png;2;1337;4;1162
1;pferd_011.png;1;990;1;911
11;;2,545454545;2341;5,454545455;1869,090909
;;;;;
4;hase_001.png;8;4459;9;3522
4;hase_002.png;4;1975;5;1526
4;hase_003.png;5;1917;2;1555
4;hase_004.png;8;2842;6;2457
4;;6,25;2798,25;5,5;2265
;;;;;
20;katze_001.png;7;3568;5;3148
20;katze_002.png;8;1262;2;1012
20;katze_003.png;17;4584;10;3731
20;katze_004.png;5;1294;2;997
20;katze_005.png;6;1459;3;946
20;katze_006.png;11;3585;8;2878
20;katze_007.png;17;6926;12;5762
20;katze_008.png;28;8215;14;7190
20;katze_009.png;10;2953;6;2370
20;katze_010.png;7;1636;3;1084
20;katze_011.png;19;5778;10;5078
20;katze_012.png;26;8200;18;6791
20;katze_013.png;24;6336;15;4861
20;katze_014.png;9;1985;5;1443
20;katze_015.png;9;2372;6;1695
20;katze_016.png;10;1859;4;1226
20;katze_017.png;5;318;0;0
20;katze_018.png;6;2042;5;1517
20;katze_019.png;1;47;0;0
20;katze_020.png;2;300;0;0
20;;11,35;3235,95;6,4;2586,45
;;;;;
100;hund_001.png;3;131;0;0
100;hund_002.png;1;16;0;0
100;hund_004.png;4;1938;4;1873
100;hund_005.png;3;667;2;477
100;hund_006.png;1;23;0;0
100;hund_012.png;1;16;0;0
100;hund_014.png;5;79;0;0
100;hund_015.png;3;167;0;0
100;hund_016.png;1;16;0;0
100;hund_022.png;3;489;2;442
100;hund_023.png;5;649;1;572
100;hund_024.png;7;1004;1;739
100;hund_025.png;8;1206;3;981
100;hund_026.png;3;472;1;269
100;hund_029.png;2;59;0;0
100;hund_032.png;1;507;1;459
100;hund_033.png;3;284;1;221
100;hund_034.png;3;158;0;0
100;hund_035.png;6;1224;2;1012
100;hund_036.png;6;646;2;485
100;hund_037.png;1;361;1;330
100;hund_038.png;2;413;1;379
100;hund_039.png;2;399;1;348
100;hund_042.png;1;377;1;346
100;hund_043.png;4;125;0;0
100;hund_044.png;7;345;0;0
100;hund_045.png;11;2138;4;1595
100;hund_046.png;4;146;0;0
100;hund_047.png;1;396;1;380
100;hund_053.png;5;780;2;537
100;hund_054.png;7;429;0;0
100;hund_055.png;6;549;1;412
100;hund_056.png;10;1301;3;903
100;hund_057.png;3;492;1;435
100;hund_058.png;1;45;0;0
100;hund_059.png;2;131;0;0
100;hund_061.png;3;68;0;0
100;hund_062.png;2;29;0;0
100;hund_063.png;7;733;2;490
100;hund_064.png;7;1005;2;721
100;hund_065.png;3;419;1;371
100;hund_066.png;8;1789;4;1564
100;hund_068.png;4;472;1;348
100;hund_069.png;4;602;2;538
100;hund_072.png;4;484;1;346
100;hund_073.png;2;255;1;191
100;hund_074.png;3;525;2;466
100;hund_075.png;6;610;1;238
100;hund_076.png;6;986;2;734
100;hund_077.png;1;396;1;380
100;hund_079.png;1;349;1;333
100;hund_085.png;11;695;0;0
100;hund_086.png;13;1639;4;922
100;hund_087.png;2;95;0;0
100;hund_088.png;2;47;0;0
100;hund_089.png;2;143;0;0
100;hund_090.png;2;420;1;379
100;hund_095.png;10;887;1;188
100;hund_096.png;10;712;1;160
100;hund_097.png;1;32;0;0
100;hund_100.png;1;23;0;0
61;;4,114754098;517,9180328;1,049180328;353,5081967
