ms;state;event;payload;gx;gy
253575;-1;GAZE;;0.48770857;0.90618974
253591;-1;GAZE;;0.48608392;0.90103924
253606;-1;GAZE;;0.48745996;0.90215695
253622;-1;GAZE;;0.49098283;0.9056019
253637;-1;GAZE;;0.4878302;0.9035312
253652;-1;GAZE;;0.48611432;0.9054778
253668;-1;GAZE;;0.4837361;0.9131943
253684;-1;GAZE;;0.4842738;0.9147449
253705;-1;GAZE;;0.48451984;0.916279
253731;-1;GAZE;;0.48470825;0.9182892
253747;-1;GAZE;;0.48343846;0.9174456
253762;-1;GAZE;;0.47775915;0.916932
253777;-1;GAZE;;0.47735977;0.9160052
253793;-1;GAZE;;0.48132336;0.9160029
253809;-1;GAZE;;0.4795683;0.91693443
253825;-1;GAZE;;0.48056495;0.91297156
253841;-1;GAZE;;0.47959852;0.9083398
253856;-1;GAZE;;0.48001823;0.9033548
253871;-1;GAZE;;0.4832811;0.90474844
253887;-1;GAZE;;0.4883291;0.91114146
253902;-1;GAZE;;0.49242648;0.91156036
253918;-1;GAZE;;0.49368465;0.9024944
253934;-1;GAZE;;0.49644318;0.8803131
253950;-1;GAZE;;0.4928308;0.82378685
253965;-1;GAZE;;0.47209546;0.5196042
253980;-1;GAZE;;0.4830282;0.50990915
254007;-1;GAZE;;0.48074803;0.50824493
254018;-1;GAZE;;0.48276013;0.5153226
254044;-1;GAZE;;0.48202428;0.49894708
254059;-1;GAZE;;0.48092875;0.49415848
254074;-1;GAZE;;0.4862355;0.505565
254090;-1;GAZE;;0.47689268;0.4888856
254106;-1;GAZE;;0.4744027;0.4858292
254121;-1;GAZE;;0.4738113;0.4956591
254136;-1;GAZE;;0.47822508;0.5116775
254167;-1;GAZE;;0.4773011;0.518918
254182;-1;GAZE;;0.4840616;0.5208179
254198;-1;GAZE;;0.49155933;0.5224314
254216;-1;GAZE;;0.50207466;0.52806234
254244;-1;GAZE;;0.5047807;0.49584407
254260;-1;GAZE;;0.50424355;0.4937297
254290;-1;GAZE;;0.4978434;0.49539405
254306;-1;GAZE;;0.50185996;0.4902954
254322;-1;GAZE;;0.50037545;0.49089605
254337;-1;GAZE;;0.49971503;0.49502072
254352;-1;GAZE;;0.4960517;0.5054475
254368;-1;GAZE;;0.49237147;0.50778437
254400;-1;GAZE;;0.48674026;0.5090305
254416;-1;GAZE;;0.48471063;0.50316715
254456;-1;GAZE;;0.48467237;0.49648538
254493;-1;GAZE;;0.48328707;0.4899183
254509;-1;GAZE;;0.4839889;0.4882951
254541;-1;GAZE;;0.6451702;0.5035793
254557;-1;GAZE;;0.72023314;0.5053853
254588;-1;GAZE;;0.7341996;0.5044789
254620;-1;GAZE;;0.747219;0.5022315
254636;-1;GAZE;;0.7542803;0.5120552
254668;-1;GAZE;;0.75445956;0.51926166
254683;-1;GAZE;;0.7572772;0.52034813
254715;-1;GAZE;;0.7699525;0.52472997
254730;-1;GAZE;;0.81382424;0.5357279
254755;-1;GAZE;;0.8351529;0.54028285
254777;-1;GAZE;;0.8499998;0.55524534
254808;-1;GAZE;;0.8609098;0.55593324
254824;-1;GAZE;;0.8603881;0.5554768
254855;-1;GAZE;;0.86449903;0.54855376
254871;-1;GAZE;;0.86634445;0.54722315
254906;-1;GAZE;;0.86951435;0.54821193
254934;-1;GAZE;;0.8644484;0.5562876
254950;-1;GAZE;;0.86620045;0.5573817
254980;-1;GAZE;;0.8668026;0.5535143
254996;-1;GAZE;;0.8671042;0.5491821
255027;-1;GAZE;;0.8676187;0.54366535
255074;-1;GAZE;;0.8680786;0.5392057
255090;-1;GAZE;;0.8687947;0.54127866
255120;-1;GAZE;;0.8705679;0.5443764
255136;-1;GAZE;;0.87061185;0.54631424
255166;-1;GAZE;;0.8608932;0.54874474
255182;-1;GAZE;;0.8243018;0.5517744
255205;-1;GAZE;;0.7661164;0.53883845
255228;-1;GAZE;;0.7559173;0.53501844
255259;-1;GAZE;;0.66683733;0.50762177
255275;-1;GAZE;;0.6671161;0.5040929
255305;-1;GAZE;;0.66524714;0.4964036
255321;-1;GAZE;;0.66359156;0.49550906
255356;-1;GAZE;;0.66212857;0.49278265
255401;-1;GAZE;;0.66666514;0.4934548
255431;-1;GAZE;;0.68995804;0.508397
255447;-1;GAZE;;0.6883033;0.5120256
255478;-1;GAZE;;0.6893107;0.51687133
255524;-1;GAZE;;0.68275416;0.50241095
255539;-1;GAZE;;0.68046093;0.50407684
