participant_no;3
gender_idx;-1
age;
----
ms;state;event;payload;gx;gy
131121;1;BTN_NEXT;from=consent;0.50315696;0.7955011
151383;2;BTN_NEXT;gender_idx=0,age=47,seh=Brille;0.4912221;0.780611
151384;2;EVENT_PARTICIPANT;id=20251225_190000,participant_no=3,gender_idx=0,orderIndex=3,order=100,1,4,20,animalOrderIdx=0,1,2,3,animalOrderNames=Katze,Hund,Pferd,Hase,age=47;0.4912221;0.780611
179966;7;BTN_START_CALIB;;0.5263895;0.856412
181702;8;CALIB_POINT_DONE;nx=0.5,ny=0.08;0.5007786;0.03590138
183376;8;CALIB_POINT_DONE;nx=0.92,ny=0.08;0.89705074;0.08631398
184579;8;CALIB_POINT_DONE;nx=0.92,ny=0.5;0.9076385;0.50939244
186011;8;CALIB_POINT_DONE;nx=0.5,ny=0.92;0.49579534;0.90471673
187217;8;CALIB_POINT_DONE;nx=0.92,ny=0.92;0.9184463;0.91747445
188625;8;CALIB_POINT_DONE;nx=0.08,ny=0.92;0.07722318;0.88723516
189977;8;CALIB_POINT_DONE;nx=0.08,ny=0.5;0.07677324;0.4545442
191149;8;CALIB_POINT_DONE;nx=0.08,ny=0.08;0.09766819;0.05796864
195712;8;BTN_NEXT;from=calibration;0.49716628;0.8524303
201640;3;EVENT_ZOOM_OPEN;cond=100,image_idx=56,image_id=katze_058.png;0.61777323;0.5504324
204525;3;EVENT_SELECT;image_id=katze_058.png,cond=100,set=0,animal_idx=0,animal_name=Katze;0.5388658;0.85173625
219591;4;EVENT_POST_TRIAL;q_satisfaction_1_7=7,selected_id=katze_058.png,cond=100,animal_idx=0,animal_name=Katze;0.49856785;0.8933286
227490;3;NAV_FWD;cond=1,set=1,animal_idx=1,animal_name=Hund,ids=hund_002.png;0.4758345;0.38005933
228676;3;NAV_FWD;cond=1,set=2,animal_idx=1,animal_name=Hund,ids=hund_003.png;0.49940312;0.24559651
229690;3;NAV_FWD;cond=1,set=3,animal_idx=1,animal_name=Hund,ids=hund_004.png;0.6347806;0.42123213
230979;3;NAV_FWD;cond=1,set=4,animal_idx=1,animal_name=Hund,ids=hund_005.png;0.5420872;0.30680138
232217;3;NAV_FWD;cond=1,set=5,animal_idx=1,animal_name=Hund,ids=hund_006.png;0.4895255;0.27318016
233607;3;NAV_FWD;cond=1,set=6,animal_idx=1,animal_name=Hund,ids=hund_007.png;0.45592397;0.4898205
235346;3;NAV_FWD;cond=1,set=7,animal_idx=1,animal_name=Hund,ids=hund_008.png;0.54067415;0.32181057
236231;3;NAV_FWD;cond=1,set=8,animal_idx=1,animal_name=Hund,ids=hund_009.png;0.533393;0.38894063
238270;3;NAV_BACK;cond=1,set=7,animal_idx=1,animal_name=Hund,ids=hund_008.png;0.104690604;0.85050815
240050;3;EVENT_SELECT;image_id=hund_008.png,cond=1,set=7,animal_idx=1,animal_name=Hund;0.49857527;0.8840891
245304;4;EVENT_POST_TRIAL;q_satisfaction_1_7=7,selected_id=hund_008.png,cond=1,animal_idx=1,animal_name=Hund;0.48119965;0.8771326
248131;3;EVENT_ZOOM_OPEN;cond=4,image_idx=3,image_id=pferd_004.png;0.6966577;0.62276816
250458;3;EVENT_SELECT;image_id=pferd_004.png,cond=4,set=0,animal_idx=2,animal_name=Pferd;0.52933186;0.38719004
254336;4;EVENT_POST_TRIAL;q_satisfaction_1_7=7,selected_id=pferd_004.png,cond=4,animal_idx=2,animal_name=Pferd;0.4838323;0.9152736
270210;3;EVENT_ZOOM_OPEN;cond=20,image_idx=6,image_id=hase_007.png;0.304446;0.2999052
272984;3;EVENT_SELECT;image_id=hase_007.png,cond=20,set=0,animal_idx=3,animal_name=Hase;0.49976903;0.87317795
277537;4;EVENT_POST_TRIAL;q_satisfaction_1_7=7,selected_id=hase_007.png,cond=20,animal_idx=3,animal_name=Hase;0.514138;0.898353
305139;5;EVENT_FINAL_FAVORITE;fav=4;0.5040248;0.8264182
309522;6;BTN_EXIT;from=thanks;0.49709228;0.8038508
