ms;state;event;payload;gx;gy
174961;1;BTN_NEXT;from=consent;0.50218;0.8646687
172915;-1;GAZE;;0.49767113;0.8483915
172933;-1;GAZE;;0.49381515;0.8454203
172948;-1;GAZE;;0.49240988;0.84360886
172964;-1;GAZE;;0.49053818;0.84098405
172979;-1;GAZE;;0.49076703;0.8392229
172995;-1;GAZE;;0.4892964;0.8328305
173011;-1;GAZE;;0.48808083;0.8325874
173027;-1;GAZE;;0.4882365;0.8329347
173042;-1;GAZE;;0.48835474;0.8307502
173064;-1;GAZE;;0.4868741;0.82153773
173090;-1;GAZE;;0.48652542;0.82028043
173106;-1;GAZE;;0.48544216;0.81575793
173122;-1;GAZE;;0.4797459;0.79896605
173138;-1;GAZE;;0.44562548;0.74162555
173154;-1;GAZE;;0.35788393;0.6219496
173169;-1;GAZE;;0.30533743;0.546357
173184;-1;GAZE;;0.24607185;0.45210654
173200;-1;GAZE;;0.21337423;0.404342
173216;-1;GAZE;;0.146595;0.3040923
173232;-1;GAZE;;0.13432975;0.27274483
173248;-1;GAZE;;0.13580956;0.25014693
173264;-1;GAZE;;0.13515827;0.23597883
173280;-1;GAZE;;0.12764324;0.22707108
173295;-1;GAZE;;0.12637939;0.22564085
173310;-1;GAZE;;0.12773499;0.22577083
173326;-1;GAZE;;0.12609337;0.23527658
173341;-1;GAZE;;0.12913558;0.23062478
173366;-1;GAZE;;0.092455335;0.34177122
173388;-1;GAZE;;0.06872034;0.42085886
173403;-1;GAZE;;0.071129255;0.44033253
173419;-1;GAZE;;0.07065997;0.45809156
173435;-1;GAZE;;0.07089532;0.5222558
173450;-1;GAZE;;0.07193818;0.5419566
173466;-1;GAZE;;0.07788597;0.54988754
173482;-1;GAZE;;0.07288548;0.53681666
173497;-1;GAZE;;0.078081764;0.54738015
173515;-1;GAZE;;0.08243991;0.55056
173529;-1;GAZE;;0.080139205;0.54591477
173546;-1;GAZE;;0.06429121;0.3406374
173561;-1;GAZE;;0.058607988;0.28578237
173576;-1;GAZE;;0.05779664;0.27990785
173592;-1;GAZE;;0.056537624;0.2684077
173607;-1;GAZE;;0.054325856;0.25827017
173623;-1;GAZE;;0.053356335;0.2533241
173639;-1;GAZE;;0.051002257;0.2544212
173667;-1;GAZE;;0.05143248;0.2506328
173687;-1;GAZE;;0.051587455;0.2503668
173703;-1;GAZE;;0.053343933;0.2427527
173719;-1;GAZE;;0.048398633;0.23863778
173735;-1;GAZE;;0.04847947;0.23824172
173751;-1;GAZE;;0.050180297;0.240497
173766;-1;GAZE;;0.04966022;0.2410705
173782;-1;GAZE;;0.049632896;0.24180982
173798;-1;GAZE;;0.050158508;0.24158607
173818;-1;GAZE;;0.049071193;0.2362106
173846;-1;GAZE;;0.04611906;0.23357035
173862;-1;GAZE;;0.0473122;0.23522957
173877;-1;GAZE;;0.046215594;0.23960117
173893;-1;GAZE;;0.04572558;0.24143058
173909;-1;GAZE;;0.051485226;0.23902076
173924;-1;GAZE;;0.050458875;0.23972742
173939;-1;GAZE;;0.053751033;0.24042782
173967;-1;GAZE;;0.055687167;0.24005064
173986;-1;GAZE;;0.057262186;0.2434826
174001;-1;GAZE;;0.05268;0.24130419
174017;-1;GAZE;;0.049183045;0.23943278
174032;-1;GAZE;;0.052158795;0.23987463
174048;-1;GAZE;;0.052746024;0.24105784
174063;-1;GAZE;;0.057718314;0.24745059
174079;-1;GAZE;;0.06265743;0.258256
174095;-1;GAZE;;0.069551215;0.27057025
174114;-1;GAZE;;0.07247143;0.27722713
174142;-1;GAZE;;0.07448005;0.2797655
174158;-1;GAZE;;0.07506359;0.28201628
174173;-1;GAZE;;0.07780261;0.28364706
174189;-1;GAZE;;0.08076761;0.28742182
174204;-1;GAZE;;0.08270683;0.29161587
174220;-1;GAZE;;0.08360419;0.2911623
174236;-1;GAZE;;0.08564654;0.29231507
174265;-1;GAZE;;0.086303204;0.29389104
174284;-1;GAZE;;0.086314656;0.2936949
174300;-1;GAZE;;0.08230138;0.3007725
174316;-1;GAZE;;0.079268344;0.304486
174331;-1;GAZE;;0.08031965;0.30227566
174347;-1;GAZE;;0.08075011;0.30110705
174363;-1;GAZE;;0.08062159;0.3011945
174378;-1;GAZE;;0.081302196;0.29735616
174394;-1;GAZE;;0.082765974;0.29587796
