ms;state;event;payload;gx;gy
221589;3;EVENT_ZOOM_OPEN;cond=4,image_idx=2,image_id=hase_003.png;0.347012;0.62171614
201260;-1;GAZE;;0.3471203;0.62261647
201276;-1;GAZE;;0.34643468;0.6214985
201292;-1;GAZE;;0.34607747;0.6214901
201311;-1;GAZE;;0.34506577;0.6220561
201340;-1;GAZE;;0.3441392;0.62119794
201356;-1;GAZE;;0.34306005;0.6211589
201387;-1;GAZE;;0.34177393;0.6223568
201387;-1;GAZE;;0.3413157;0.62505287
201403;-1;GAZE;;0.34150952;0.6270874
201419;-1;GAZE;;0.34186882;0.6274588
201435;-1;GAZE;;0.3414474;0.62738425
201465;-1;GAZE;;0.33990708;0.6258551
201483;-1;GAZE;;0.33925486;0.6238744
201499;-1;GAZE;;0.3390326;0.62344897
201515;-1;GAZE;;0.33802128;0.6239226
201531;-1;GAZE;;0.3383076;0.62284034
201547;-1;GAZE;;0.33890533;0.6224863
201562;-1;GAZE;;0.3391303;0.62261355
201578;-1;GAZE;;0.33918235;0.6226689
201594;-1;GAZE;;0.33886766;0.6266479
201625;-1;GAZE;;0.3392193;0.6268446
201641;-1;GAZE;;0.34318528;0.6350206
201657;-1;GAZE;;0.5290983;0.6907498
201673;-1;GAZE;;0.71698;0.72909296
201689;-1;GAZE;;0.7874852;0.80560374
201704;-1;GAZE;;0.8494838;0.872998
201720;-1;GAZE;;0.8611002;0.8728276
201736;-1;GAZE;;0.8500671;0.85487837
201761;-1;GAZE;;0.88612187;0.86408204
201784;-1;GAZE;;0.88795114;0.84676564
201800;-1;GAZE;;0.89335763;0.8736088
201816;-1;GAZE;;0.8983695;0.90854347
201832;-1;GAZE;;0.898176;0.9087115
201848;-1;GAZE;;0.90411377;0.9030265
201864;-1;GAZE;;0.9142731;0.90253586
201879;-1;GAZE;;0.913063;0.9042396
201911;-1;GAZE;;0.9127789;0.9109925
201927;-1;GAZE;;0.91047466;0.9142449
201943;-1;GAZE;;0.9038056;0.92422175
201959;-1;GAZE;;0.90371895;0.929785
201975;-1;GAZE;;0.9039177;0.92875236
201991;-1;GAZE;;0.90339774;0.92794746
202007;-1;GAZE;;0.9034602;0.9272819
202023;-1;GAZE;;0.9029521;0.9274923
202039;-1;GAZE;;0.86217946;0.9425629
202057;-1;GAZE;;0.8592212;0.94523686
202087;-1;GAZE;;0.8548998;0.94641495
202103;-1;GAZE;;0.84570444;0.9041757
202120;-1;GAZE;;0.8412278;0.9310679
202135;-1;GAZE;;0.83080727;0.8546892
202151;-1;GAZE;;0.830047;0.8566222
202166;-1;GAZE;;0.81543267;0.8917802
202211;-1;GAZE;;0.806802;0.9280081
202228;-1;GAZE;;0.81702715;0.9183549
202243;-1;GAZE;;0.7124758;0.9035456
202259;-1;GAZE;;0.5239319;0.79271036
202275;-1;GAZE;;0.47545257;0.7627142
202290;-1;GAZE;;0.47542366;0.76077235
202305;-1;GAZE;;0.4759864;0.7633089
202322;-1;GAZE;;0.4751691;0.7660409
202338;-1;GAZE;;0.4746347;0.76840025
202362;-1;GAZE;;0.4655427;0.7534693
202384;-1;GAZE;;0.46553153;0.7517761
202400;-1;GAZE;;0.4296307;0.68078333
202416;-1;GAZE;;0.3826003;0.5844907
202435;-1;GAZE;;0.21467428;0.28410858
202464;-1;GAZE;;0.21626364;0.28718737
202480;-1;GAZE;;0.17841293;0.19491251
202507;-1;GAZE;;0.17567208;0.18395914
202528;-1;GAZE;;0.15237083;0.10898165
202543;-1;GAZE;;0.14715071;0.09139571
202559;-1;GAZE;;0.14819628;0.105222285
202575;-1;GAZE;;0.12288383;0.07602375
202591;-1;GAZE;;0.119943336;0.076587446
202607;-1;GAZE;;0.1188588;0.07609881
202622;-1;GAZE;;0.11444628;0.0869963
202661;-1;GAZE;;0.11071197;0.10454229
202686;-1;GAZE;;0.11275421;0.11073433
202702;-1;GAZE;;0.11302051;0.09804351
202718;-1;GAZE;;0.11313845;0.09428186
202734;-1;GAZE;;0.11017544;0.08937832
202750;-1;GAZE;;0.110635474;0.08959025
202766;-1;GAZE;;0.11445764;0.095644645
202782;-1;GAZE;;0.11349704;0.094368145
202811;-1;GAZE;;0.12718955;0.11686232
202830;-1;GAZE;;0.12306123;0.115053184
202845;-1;GAZE;;0.2383695;0.31445816
202861;-1;GAZE;;0.38728207;0.5603229
202877;-1;GAZE;;0.42689362;0.6276425
202893;-1;GAZE;;0.47277004;0.70600724
202908;-1;GAZE;;0.47588614;0.7130723
202924;-1;GAZE;;0.47663572;0.7162499
202939;-1;GAZE;;0.4797808;0.7274714
202958;-1;GAZE;;0.47961023;0.7283974
202987;-1;GAZE;;0.47950557;0.731145
203003;-1;GAZE;;0.47964832;0.73106945
203021;-1;GAZE;;0.48500127;0.7292349
203049;-1;GAZE;;0.48003146;0.722339
203065;-1;GAZE;;0.5003293;0.54461616
203096;-1;GAZE;;0.49969307;0.55623317
203112;-1;GAZE;;0.51022935;0.46414778
203127;-1;GAZE;;0.5117179;0.4618811
203143;-1;GAZE;;0.5130254;0.45832348
203159;-1;GAZE;;0.5133136;0.45650473
203175;-1;GAZE;;0.5134169;0.45689255
