participant_no;11
gender_idx;-1
age;
----
ms;state;event;payload;gx;gy
177159;1;BTN_NEXT;from=consent;0.4913503;0.77491045
185051;2;BTN_NEXT;gender_idx=0,age=21,seh=keine Sehhilfe;0.46153796;0.7778833
185051;2;EVENT_PARTICIPANT;id=20260114_124742,participant_no=11,gender_idx=0,orderIndex=3,order=100,1,4,20,animalOrderIdx=2,3,0,1,animalOrderNames=Pferd,Hase,Katze,Hund,age=21;0.46153796;0.7778833
186710;7;BTN_START_CALIB;;0.10681128;0.22465998
190258;8;CALIB_POINT_DONE;nx=0.5,ny=0.08;0.49156848;0.008271453
191608;8;CALIB_POINT_DONE;nx=0.92,ny=0.08;0.9119694;0.108485244
192816;8;CALIB_POINT_DONE;nx=0.92,ny=0.5;0.9404447;0.47879723
194071;8;CALIB_POINT_DONE;nx=0.92,ny=0.92;0.87641317;0.8874476
195315;8;CALIB_POINT_DONE;nx=0.5,ny=0.92;0.5092153;0.8920026
196685;8;CALIB_POINT_DONE;nx=0.08,ny=0.92;0.13182235;0.85379493
197878;8;CALIB_POINT_DONE;nx=0.08,ny=0.5;0.12316347;0.459236
199112;8;CALIB_POINT_DONE;nx=0.08,ny=0.08;0.09957298;0.069477096
200373;8;BTN_NEXT;from=calibration;0.50918937;0.83129233
213368;3;EVENT_ZOOM_OPEN;cond=100,image_idx=2,image_id=pferd_003.png;0.27865785;0.11752415
217733;3;EVENT_ZOOM_CLOSE;image_id=pferd_003.png,cond=100;0.4804595;0.2658586
221482;3;EVENT_ZOOM_OPEN;cond=100,image_idx=9,image_id=pferd_010.png;0.7449145;0.21904849
225650;3;EVENT_ZOOM_CLOSE;image_id=pferd_010.png,cond=100;0.16342308;0.13046055
227968;3;EVENT_ZOOM_OPEN;cond=100,image_idx=10,image_id=pferd_011.png;0.15629517;0.20841378
231713;3;EVENT_ZOOM_CLOSE;image_id=pferd_011.png,cond=100;0.57799095;0.48426232
234003;3;EVENT_ZOOM_OPEN;cond=100,image_idx=14,image_id=pferd_015.png;0.45644277;0.3104023
237939;3;EVENT_ZOOM_CLOSE;image_id=pferd_015.png,cond=100;0.14901447;0.009744779
240566;3;EVENT_ZOOM_OPEN;cond=100,image_idx=98,image_id=pferd_099.png;0.62914443;0.7584904
244518;3;EVENT_ZOOM_CLOSE;image_id=pferd_099.png,cond=100;0.47158363;0.731721
246549;3;EVENT_ZOOM_OPEN;cond=100,image_idx=75,image_id=pferd_076.png;0.5199626;0.67083275
249295;3;EVENT_ZOOM_CLOSE;image_id=pferd_076.png,cond=100;0.6794614;0.5806548
