ms;state;event;payload;gx;gy
177159;1;BTN_NEXT;from=consent;0.4913503;0.77491045
174250;-1;GAZE;;0.49307534;0.7660614
174266;-1;GAZE;;0.4923243;0.7749398
174282;-1;GAZE;;0.49046895;0.7903514
174298;-1;GAZE;;0.49146795;0.7937709
174313;-1;GAZE;;0.48857227;0.80219615
174329;-1;GAZE;;0.490101;0.78963023
174344;-1;GAZE;;0.4902906;0.7883896
174360;-1;GAZE;;0.49256906;0.78838336
174380;-1;GAZE;;0.4936266;0.8035659
174407;-1;GAZE;;0.4889507;0.8116362
174423;-1;GAZE;;0.48893106;0.80127186
174439;-1;GAZE;;0.48861158;0.79485846
174455;-1;GAZE;;0.4915101;0.8120229
174471;-1;GAZE;;0.4904576;0.7994737
174487;-1;GAZE;;0.4856759;0.7947869
174503;-1;GAZE;;0.48631197;0.78603566
174519;-1;GAZE;;0.47785488;0.7532945
174537;-1;GAZE;;0.42665142;0.51602495
174566;-1;GAZE;;0.4005715;0.39367774
174582;-1;GAZE;;0.36484918;0.26138875
174598;-1;GAZE;;0.3679851;0.23661634
174614;-1;GAZE;;0.36517707;0.25877467
174630;-1;GAZE;;0.36545452;0.26034194
174646;-1;GAZE;;0.36606023;0.25468594
174662;-1;GAZE;;0.36946046;0.2593726
174689;-1;GAZE;;0.37327477;0.25668788
174709;-1;GAZE;;0.37386575;0.28411978
174725;-1;GAZE;;0.3289236;0.26382822
174741;-1;GAZE;;0.3338461;0.2840586
174756;-1;GAZE;;0.31138927;0.28273484
174772;-1;GAZE;;0.26713532;0.2707171
174787;-1;GAZE;;0.25723898;0.25556695
174803;-1;GAZE;;0.11578447;0.24810328
174829;-1;GAZE;;0.11518147;0.25078458
174850;-1;GAZE;;0.116028644;0.25428638
174866;-1;GAZE;;0.11560123;0.25151056
174882;-1;GAZE;;0.11203185;0.2583434
174897;-1;GAZE;;0.111184224;0.26490936
174913;-1;GAZE;;0.11121175;0.26385793
174928;-1;GAZE;;0.1112839;0.26341227
174944;-1;GAZE;;0.110892646;0.2630849
174960;-1;GAZE;;0.11098162;0.26278424
174990;-1;GAZE;;0.11280739;0.24994098
175006;-1;GAZE;;0.114968754;0.22634938
175021;-1;GAZE;;0.11537512;0.22064906
175037;-1;GAZE;;0.1157269;0.18582428
175053;-1;GAZE;;0.11611963;0.1872647
